street,suburb,region,postcode
BAINS ROAD,MORPHETT VALE,SA,5162
BRASTED STREET,TARINGA,QLD,4068
ORVIETO TERRACE,KINGS BEACH,QLD,4551
ERNEST STREET,GREENSLOPES,QLD,4120
BEAK STREET,KOONGAL,QLD,4701
BAGOT STREET,NORTH ADELAIDE,SA,5006
ROSS ROAD,HECTORVILLE,SA,5073
BAKEWELL ROAD,EVANDALE,SA,5069
KESTERS ROAD,PARA HILLS WEST,SA,5096
TRADELINK ROAD,HILLCREST,QLD,4118
BRIMAGE STREET,WHYALLA,SA,5600
ANN STREET,FORTITUDE VALLEY,QLD,4006
SYDNEY STREET,GLENUNGA,SA,5064
ESPLANADE HEADLAND,KINGS BEACH,QLD,4551
BRIDGE ROAD,PARA HILLS WEST,SA,5096
CHURCH STREET,FORTITUDE VALLEY,QLD,4006
ADDISON AVENUE,BULIMBA,QLD,4171
LATIMER STREET,HOLLAND PARK,QLD,4121
ARGYLE AVENUE,MARLESTON,SA,5033
WEST STREET,ASCOT PARK,SA,5043
SELBY STREET,ADELAIDE,SA,5000
VENTURA ROAD,MERMAID BEACH,QLD,4218
HARVEY STREET,NAILSWORTH,SA,5083
MORAY STREET,NEW FARM,QLD,4005
BRISTOL STREET,WEST END,QLD,4101
MAXWELL STREET,ADELAIDE,SA,5000
BOWEN TERRACE,NEW FARM,QLD,4005
GLEESON COURT,WYNN VALE,SA,5127
HAROLD STREET,WEST END,QLD,4810
LESLIE STREET,THANGOOL,QLD,4716
HENLEY BEACH ROAD,TORRENSVILLE,SA,5031
GLASGOW STREET,ZILLMERE,QLD,4034
MARSHALL STREET,GOONDIWINDI,QLD,4390
MAIN ROAD,BLACKWOOD,SA,5051
DAWKINS PLACE,ADELAIDE,SA,5000
ANGAS STREET,ADELAIDE,SA,5000
OLD PACIFIC HIGHWAY,YATALA,QLD,4207
TREVOR STREET,MURRAY BRIDGE,SA,5253
ABBOTT STREET,CAIRNS CITY,QLD,4870
ERINA AVENUE,FIVE DOCK,NSW,2046
DONEGAL STREET,NORWOOD,SA,5067
PITTWATER ROAD,COLLAROY,NSW,2097
FRANCIS STREET,NORTH BRIGHTON,SA,5048
MARRICKVILLE ROAD,MARRICKVILLE,NSW,2204
GARFIELD STREET,FIVE DOCK,NSW,2046
GOONAWARRA DRIVE,CUDMIRRAH,NSW,2540
CARRABEEN STREET,EVANS HEAD,NSW,2473
OWEN STREET,ADELAIDE,SA,5000
LIVINGSTONE ROAD,MARRICKVILLE,NSW,2204
TEMPLAR PLACE,BENNETTS GREEN,NSW,2290
HARRIS ROAD,FIVE DOCK,NSW,2046
ONSLOW AVENUE,ELIZABETH BAY,NSW,2011
MASCOT DRIVE,EASTLAKES,NSW,2018
NELSON STREET,YERONGA,QLD,4104
HERCULES ROAD,BRIGHTON-LE-SANDS,NSW,2216
GOODWIN CIRCUIT,GOLDEN GROVE,SA,5125
PORT ROAD,WEST CROYDON,SA,5008
BONG BONG STREET,BOWRAL,NSW,2576
OCEAN AVENUE,DOUBLE BAY,NSW,2028
BAXTER AVENUE,KOGARAH,NSW,2217
EILDON ROAD,WINDSOR,QLD,4030
BASEDOW ROAD,TANUNDA,SA,5352
LIGHT COMMON,MAWSON LAKES,SA,5095
KAPARA ROAD,GILLMAN,SA,5013
SHELLCOVE ROAD,KURRABA POINT,NSW,2089
REGENT STREET,MELROSE PARK,SA,5039
JENNER STREET,BAULKHAM HILLS,NSW,2153
TRETTER STREET,MORPHETT VALE,SA,5162
CREMORNE ROAD,CREMORNE POINT,NSW,2090
PARK AVENUE,PENNINGTON,SA,5013
UNION STREET,BEGA,NSW,2550
BEAUMONT STREET,HAMILTON,NSW,2303
LEEDS STREET,SALISBURY EAST,SA,5109
WHEATSHEAF ROAD,MORPHETT VALE,SA,5162
ESME AVENUE,CHESTER HILL,NSW,2162
MAIDA ROAD,EPPING,NSW,2121
SECOND AVENUE,CAMPSIE,NSW,2194
WOODVILLE ROAD,GUILDFORD,NSW,2161
HARRINGTON ROAD,HARRINGTON,NSW,2427
GUILDFORD ROAD,GUILDFORD,NSW,2161
BARSBYS AVENUE,ALLAWAH,NSW,2218
HARBOUR VIEW TERRACE,VICTOR HARBOR,SA,5211
KISSING POINT ROAD,DUNDAS,NSW,2117
FAIRWEATHER STREET,YORKEYS KNOB,QLD,4878
MCINERNEY AVENUE,MITCHELL PARK,SA,5043
KINGSGROVE ROAD,KINGSGROVE,NSW,2208
CARY STREET,DRUMMOYNE,NSW,2047
ALFRED STREET,NORWOOD,SA,5067
STANLEY STREET,ALBURY,NSW,2640
FAIRFORD TERRACE,SEMAPHORE PARK,SA,5019
FINNISS STREET,MARION,SA,5043
MUNRO STREET,GLENELG NORTH,SA,5045
FISK STREET,WESTCOURT,QLD,4870
ROY TERRACE,CHRISTIES BEACH,SA,5165
WEDGE CRESCENT,TURNER,ACT,2612
GILCHRIST DRIVE,CAMPBELLTOWN,NSW,2560
FREDERICK STREET,CAMPSIE,NSW,2194
BYRE AVENUE,SOMERTON PARK,SA,5044
JANE STREET,SMITHFIELD,SA,5114
CORAL SEA ROAD,FULHAM,SA,5024
LANI STREET,WISHART,QLD,4122
EVE STREET,ERSKINEVILLE,NSW,2043
CHARLES STREET,CARLINGFORD,NSW,2118
NORTH EAST ROAD,COLLINSWOOD,SA,5081
ROBERT STREET,JESMOND,NSW,2299
WITTON ROAD,PORT NOARLUNGA,SA,5167
MEAGHER STREET,CHIPPENDALE,NSW,2008
ARGENT STREET,BROKEN HILL,NSW,2880
CROYDON STREET,CRONULLA,NSW,2230
GLEBE ROAD,HAMILTON SOUTH,NSW,2303
THE AVENUE,BELLAMBI,NSW,2518
MAESBURY STREET,KENSINGTON,SA,5068
OAKS AVENUE,CREMORNE,NSW,2090
MARCUS CLARKE STREET,CITY,ACT,2601
GERTRUDE STREET,BROOKLYN PARK,SA,5032
OCEAN STREET,CRONULLA,NSW,2230
HIGH STREET,CRONULLA,NSW,2230
PHEASANT AVENUE,BATEAU BAY,NSW,2261
WILLIAM STREET,LEWISHAM,NSW,2049
GRAFTON STREET,BALMAIN,NSW,2041
PRETORIA STREET,ZILLMERE,QLD,4034
GLEN OSMOND ROAD,EASTWOOD,SA,5063
JEFFCOTT STREET,NORTH ADELAIDE,SA,5006
VICTORIA STREET,ASHFIELD,NSW,2131
RIVERVIEW ROAD,EARLWOOD,NSW,2206
DEVONPORT TERRACE,PROSPECT,SA,5082
BRODIE ROAD,MORPHETT VALE,SA,5162
WEST BEACH ROAD,WEST BEACH,SA,5024
THE ESPLANADE,ASHFIELD,NSW,2131
ANDERSON STREET,CHATSWOOD,NSW,2067
GLEN OSMOND ROAD,PARKSIDE,SA,5063
MORT STREET,BRADDON,ACT,2612
SALTER STREET,KENSINGTON,SA,5068
CEDAR CRESCENT,GLENSIDE,SA,5065
ROSS STREET,BELMONT,NSW,2280
SHEPHERD STREET,DARLINGTON,NSW,2008
SHERBROOK ROAD,HORNSBY,NSW,2077
PHILLIPS STREET,NORTHFIELD,SA,5085
PRINCES HIGHWAY,DAPTO,NSW,2530
THE STRAND,REYNELLA,SA,5161
LINDSAY AVENUE,EDWARDSTOWN,SA,5039
BOYD STREET,WOORIM,QLD,4507
CROWN STREET,DARLINGHURST,NSW,2010
LAKE TERRACE WEST,MOUNT GAMBIER,SA,5290
THE GRAND PARADE,BRIGHTON-LE-SANDS,NSW,2216
HARRIS STREET,FAIRFIELD,NSW,2165
FOSTERS ROAD,HILLCREST,SA,5086
CAIRDS AVENUE,BANKSTOWN,NSW,2200
MARDEN ROAD,MARDEN,SA,5070
SALISBURY HIGHWAY,SALISBURY,SA,5108
OSMOND TERRACE,NORWOOD,SA,5067
TARLTON STREET,SOMERTON PARK,SA,5044
GREAT WESTERN HIGHWAY,KINGSWOOD,NSW,2747
NICOLSON AVENUE,WHYALLA JENKINS,SA,5609
MCKINNON ROAD,MCKINNON,VIC,3204
GOULBURN VALLEY HIGHWAY,KIALLA,VIC,3631
GOODMAN AVENUE,KILBURN,SA,5084
WILTON STREET,WOOLLOONGABBA,QLD,4102
DEVON STREET NORTH,GOODWOOD,SA,5034
FENTON STREET,DEVONPORT,TAS,7310
HARBOUR ESPLANADE,DOCKLANDS,VIC,3008
PRINCE COURT,ADELAIDE,SA,5000
ORMOND AVENUE,DAW PARK,SA,5041
ACRYLON ROAD,SALISBURY SOUTH,SA,5106
MALLARD CRESCENT,SEAFORD RISE,SA,5169
BESIR PLACE,SEMAPHORE PARK,SA,5019
ZILLMERE ROAD,ZILLMERE,QLD,4034
RAVENSWOOD ROAD,RAVENSWOOD,TAS,7250
CORINDA GROVE,WEST MOONAH,TAS,7009
REGENT STREET SOUTH,ADELAIDE,SA,5000
NELSON ROAD,MOUNT NELSON,TAS,7007
LEDGER ROAD,WOODVILLE SOUTH,SA,5011
SKYLINE ROAD,BEND OF ISLANDS,VIC,3097
SANDFORD STREET,KENSINGTON GARDENS,SA,5068
RELLUM STREET,GLENGOWRIE,SA,5044
AUSTIN STREET,CROYDON PARK,SA,5008
FLINDERS STREET,ADELAIDE,SA,5000
MOORE STREET,WEST ULVERSTONE,TAS,7315
CROSS ROAD,SOUTH PLYMPTON,SA,5038
ELEANOR TERRACE,MURRAY BRIDGE,SA,5253
FERNLEIGH STREET,UNDERDALE,SA,5032
HUME STREET,WEST MACKAY,QLD,4740
CAMERON STREET,CRANBOURNE EAST,VIC,3977
HATCHLANDS DRIVE,DEER PARK,VIC,3023
HANNAM STREET,WESTCOURT,QLD,4870
RACECOURSE ROAD,SPREYTON,TAS,7310
SWAN CRESCENT,ELIZABETH SOUTH,SA,5112
CALIFORNIA STREET,NAILSWORTH,SA,5083
ELTHAM AVENUE,PORT LINCOLN,SA,5606
GIUFRE CRESCENT,WONGALING BEACH,QLD,4852
MARGARET STREET,NORWOOD,SA,5067
EDWARD STREET,BRUNSWICK,VIC,3056
HEWITT AVENUE,ROSE PARK,SA,5067
CEAFIELD ROAD,PARA HILLS WEST,SA,5096
HENDER AVENUE,KLEMZIG,SA,5087
FINNISS STREET,NORTH ADELAIDE,SA,5006
FARNHAM ROAD,KESWICK,SA,5035
CORN STREET,OLD REYNELLA,SA,5161
BOURKE STREET,DOCKLANDS,VIC,3008
SAMUEL STREET,HACKHAM,SA,5163
WATERSIDE PLACE,DOCKLANDS,VIC,3008
ARCADIA AVENUE,PARADISE,SA,5075
KEPA STREET,PARA VISTA,SA,5093
PARK STREET,KYABRAM,VIC,3620
MURRAY STREET,ANGASTON,SA,5353
BAY ROAD,MOUNT GAMBIER,SA,5290
EASTBOURNE ROAD,CAPEL SOUND,VIC,3940
HARMONY CHASE,CLYDE NORTH,VIC,3978
ADAM STREET,BURNLEY,VIC,3121
MAY TERRACE,BROOKLYN PARK,SA,5032
CHRISTIAN ROAD,MURRAY BRIDGE,SA,5253
PRICE STREET,PLYMPTON PARK,SA,5038
ARGYLE STREET,FITZROY,VIC,3065
MAWSON ROAD,SALISBURY,SA,5108
PINE CRESCENT,ROXBY DOWNS,SA,5725
MCLAREN STREET,MOUNT BARKER,SA,5251
PORT ROAD,BEVERLEY,SA,5009
HOCKING PLACE,ADELAIDE,SA,5000
CARRINGTON STREET,ADELAIDE,SA,5000
COMMERCIAL ROAD,KOROIT,VIC,3282
ROSE STREET,GLENELG,SA,5045
CAMBERWELL ROAD,HAWTHORN EAST,VIC,3123
EAST TERRACE,ADELAIDE,SA,5000
THE ESPLANADE,CLIFTON HILL,VIC,3068
GOLFERS AVENUE,SEATON,SA,5023
CHILDERS STREET,NORTH ADELAIDE,SA,5006
BALLANTYNE STREET,THEBARTON,SA,5031
WILBERTH STREET,TANUNDA,SA,5352
FIELD AVENUE,EDITHVALE,VIC,3196
ROKEWOOD CRESCENT,MEADOW HEIGHTS,VIC,3048
SMITH ROAD,SALISBURY EAST,SA,5109
NORTH EAST ROAD,ST AGNES,SA,5097
CHARLICK CIRCUIT,ADELAIDE,SA,5000
HAVEN AVENUE,SEAFORD,SA,5169
HARRIS STREET,NETLEY,SA,5037
CASTLEGATE PLACE,BERWICK,VIC,3806
JAGUAR DRIVE,CLAYTON,VIC,3168
FRANCIS STREET EAST,NORTH ADELAIDE,SA,5006
MANN STREET,WESTCOURT,QLD,4870
GRIFFITHS DRIVE,MOANA,SA,5169
COLLINS STREET,DOCKLANDS,VIC,3008
LIPSON STREET,PORT ADELAIDE,SA,5015
ANNE MARIE COURT,GOLDEN GROVE,SA,5125
SANDY BAY ROAD,BATTERY POINT,TAS,7004
HATHERLEY AVENUE,HYDE PARK,SA,5061
HARTLEY STREET,ZILZIE,QLD,4710
WILTON AVENUE,SOMERTON PARK,SA,5044
GROVE ROAD,GLENORCHY,TAS,7010
BUXTON STREET,NORTH ADELAIDE,SA,5006
GREY STREET,BALWYN,VIC,3103
GLENLYON ROAD,BRUNSWICK,VIC,3056
ASHTED ROAD,BOX HILL,VIC,3128
DORKING ROAD,BOX HILL,VIC,3128
GLEN EIRA ROAD,ELSTERNWICK,VIC,3185
LYGON STREET,CARLTON,VIC,3053
WALKERVILLE TERRACE,GILBERTON,SA,5081
TUDOR COURT,HEATHMONT,VIC,3135
ADDISON STREET,ELWOOD,VIC,3184
TENTH STREET,RENMARK,SA,5341
CASUARINA DRIVE,CAPE SCHANCK,VIC,3939
EDGAR STREET,KINGSVILLE,VIC,3012
HUTT STREET,ADELAIDE,SA,5000
WALNUT STREET,OLD REYNELLA,SA,5161
HAPPY VALLEY DRIVE,HAPPY VALLEY,SA,5159
ANZAC HIGHWAY,EVERARD PARK,SA,5035
BELAIR ROAD,TORRENS PARK,SA,5062
SARGOOD STREET,ALTONA,VIC,3018
ANZAC HIGHWAY,CAMDEN PARK,SA,5038
CANTERBURY ROAD,FOREST HILL,VIC,3131
ASCOT AVENUE,WESTCOURT,QLD,4870
MAIN NORTH ROAD,BRAHMA LODGE,SA,5109
KING GEORGE AVENUE,SOMERTON PARK,SA,5044
ELLIOTT AVENUE,HIGHTON,VIC,3216
DOVE COURT,CLAREMONT,TAS,7011
MAIN NORTH ROAD,WILLASTON,SA,5118
DENHAM CIRCUIT,WILLOW VALE,QLD,4209
PRESTON AVENUE,BRIGHTON,SA,5048
MAY STREET,ALBERT PARK,SA,5014
ENDEAVOUR DRIVE,SEAFORD RISE,SA,5169
KING WILLIAM ROAD,GOODWOOD,SA,5034
BEAUCHAMP STREET,KURRALTA PARK,SA,5037
PORTER STREET,SALISBURY,SA,5108
BARHAM AVENUE,MORPHETTVILLE,SA,5043
HAMPDEN STREET,FIRLE,SA,5070
WILLIAM STREET,YEPPOON,QLD,4703
NORTH TERRACE,HACKNEY,SA,5069
SCOBIE STREET,WILLOW VALE,QLD,4209
CLIFFORD STREET,TORRENSVILLE,SA,5031
TALLACK STREET,WINDSOR GARDENS,SA,5087
SECOND AVENUE,MOANA,SA,5169
VARLEY STREET,YORKEYS KNOB,QLD,4878
GASSMAN DRIVE,YATALA,QLD,4207
CLIFF STREET,GLENGOWRIE,SA,5044
COVENTRY STREET,OAKLANDS PARK,SA,5046
BRIDE STREET,WYNNUM,QLD,4178
MARION ROAD,SOUTH PLYMPTON,SA,5038
CAPTAIN ROBERTSON AVENUE,GOLDEN GROVE,SA,5125
NOBLET STREET,FINDON,SA,5023
CHAPMAN ROAD,MANSFIELD PARK,SA,5012
MACQUARIE STREET,WOODRIDGE,QLD,4114
HELEN STREET,GLENELG NORTH,SA,5045
YARRABILBA DRIVE,YARRABILBA,QLD,4207
DIXON LANE,MAWSON LAKES,SA,5095
ANGOVE PARK DRIVE,TEA TREE GULLY,SA,5091
BRAND AVENUE,VICTOR HARBOR,SA,5211
PLYMOUTH ROAD,WINGFIELD,SA,5013
WILLIAM STREET,NORWOOD,SA,5067
ANZAC HIGHWAY,GLENELG NORTH,SA,5045
PEREGRINE DRIVE,WURTULLA,QLD,4575
HART STREET,ETHELTON,SA,5015
WILLIAM STREET,PROSPECT,SA,5082
BROOKLYN TERRACE,NORTH HAVEN,SA,5018
CENTENARY AVENUE,MAITLAND,SA,5573
LIVERPOOL ROAD,GOOLWA,SA,5214
DERRICK STREET,BERRI,SA,5343
ROWLEY TERRACE,WOODVILLE,SA,5011
GOVER STREET,NORTH ADELAIDE,SA,5006
BEVERLEY STREET,CLOVELLY PARK,SA,5042
PETERSON STREET,SOMERTON PARK,SA,5044
MATTHEW STREET,GRANGE,SA,5022
MARCONI STREET,WULGURU,QLD,4811
BONYTHON WAY,NORTH BRIGHTON,SA,5048
CHANDLER COURT,MAGILL,SA,5072
WHEATON ROAD,MELROSE PARK,SA,5039
EDWARD STREET,WILLASTON,SA,5118
TUCKER STREET,SOUTH BRIGHTON,SA,5048
FREDERICK STREET,MAYLANDS,SA,5069
WHINNERAH AVENUE,ALDINGA BEACH,SA,5173
ROCKINGHAM STREET,WEST BEACH,SA,5024
PENNEYS HILL ROAD,HACKHAM,SA,5163
HARRISON ROAD,PENNINGTON,SA,5013
WYNYARD GROVE,WATTLE PARK,SA,5066
DIEKMAN TERRACE,BALAKLAVA,SA,5461
SIXTH AVENUE,ASCOT PARK,SA,5043
HENDERSON AVENUE,CLEVE,SA,5640
CASHEL STREET,PASADENA,SA,5042
GLYNBURN ROAD,TRANMERE,SA,5073
BROWN TERRACE,SALISBURY,SA,5108
FOSTERS ROAD,NORTHGATE,SA,5085
DUNSTONE ROAD,SEMAPHORE PARK,SA,5019
MILITARY ROAD,TENNYSON,SA,5022
BUTLER TERRACE,NARACOORTE,SA,5271
CHATHAM ROAD,KESWICK,SA,5035
HALL STREET,PORT LINCOLN,SA,5606
EYRE AVENUE,WHYALLA NORRIE,SA,5608
ANN STREET,STEPNEY,SA,5069
MERRICK STREET,WISHART,QLD,4122
SEAVIEW STREET,FULLARTON,SA,5063
JACOBSEN CRESCENT,HOLDEN HILL,SA,5088
THE GROVE WAY,SALISBURY HEIGHTS,SA,5109
DUNDEE AVENUE,HOLDEN HILL,SA,5088
JOSLIN STREET,WAYVILLE,SA,5034
SUTTON TERRACE,MARLESTON,SA,5033
GOSFIELD CRESCENT,HAMPSTEAD GARDENS,SA,5086
STURT ROAD,BRIGHTON,SA,5048
PARSON STREET,STURT,SA,5047
BREAMORE STREET,ELIZABETH NORTH,SA,5113
WALKLEYS ROAD,VALLEY VIEW,SA,5093
CLIFTON STREET,CAMDEN PARK,SA,5038
FARROW CIRCUIT,SEAFORD,SA,5169
MILITARY ROAD,WEST BEACH,SA,5024
TAPLEYS HILL ROAD,SEATON,SA,5023
BERYL STREET,BROADVIEW,SA,5083
BARCELONA ROAD,NOARLUNGA DOWNS,SA,5168
HERBERT STREET,PLYMPTON PARK,SA,5038
ALDERSEY STREET,MCLAREN VALE,SA,5171
SWINDEN CRESCENT,BLAKEVIEW,SA,5114
QUALITY COURT,WYNN VALE,SA,5127
RUSSELL AVENUE,SEACOMBE GARDENS,SA,5047
EXETER TERRACE,DUDLEY PARK,SA,5008
BROWN STREET,NORWOOD,SA,5067
FOUNDRY ROAD,SEVEN HILLS,NSW,2147
WEATHERLY CLOSE,NELSON BAY,NSW,2315
SIR DONALD BRADMAN DRIVE,HILTON,SA,5033
TRAFFORD STREET,ANGLE PARK,SA,5010
GAUTHORPE STREET,RHODES,NSW,2138
SHORELINE DRIVE,RHODES,NSW,2138
QUEENS AVENUE,PARRAMATTA,NSW,2150
STONEHENGE AVENUE,STIRLING,SA,5152
WALKER STREET,RHODES,NSW,2138
HASSALL STREET,PARRAMATTA,NSW,2150
ENDEAVOUR DRIVE,NARRABEEN,NSW,2101
GEORGE STREET,PARRAMATTA,NSW,2150
JANET COURT,WILSONTON,QLD,4350
HENLEY BEACH ROAD,FULHAM,SA,5024
OPHIR CRESCENT,SEACLIFF PARK,SA,5049
DALMENY AVENUE,ROSEBERY,NSW,2018
MAYFAIR PLACE,WYNN VALE,SA,5127
UNA AVENUE,PORT PIRIE SOUTH,SA,5540
BRISBANE STREET,OXLEY PARK,NSW,2760
CROSS STREET,LOCKLEYS,SA,5032
WILKINS COURT,WYNN VALE,SA,5127
BERRY STREET,NORTH SYDNEY,NSW,2060
HECTORVILLE ROAD,HECTORVILLE,SA,5073
GREEN STREET,REVESBY,NSW,2212
ROOKWOOD ROAD,YAGOONA,NSW,2199
OLD TAPLEYS HILL ROAD,GLENELG NORTH,SA,5045
BURROWAY ROAD,WENTWORTH POINT,NSW,2127
VERONA DRIVE,WENTWORTH POINT,NSW,2127
BROADBENT TERRACE,WHYALLA,SA,5600
DOVER STREET,MOREE,NSW,2400
KURRABA ROAD,NEUTRAL BAY,NSW,2089
DIXON STREET,SYDNEY,NSW,2000
ELIZABETH STREET,TEA TREE GULLY,SA,5091
NELSON STREET,PENSHURST,NSW,2222
DIAMOND BAY ROAD,VAUCLUSE,NSW,2030
PACIFIC HIGHWAY,ST LEONARDS,NSW,2065
BIRDWOOD AVENUE,YEPPOON,QLD,4703
GYMPIE ROAD,BALD HILLS,QLD,4036
ENMORE ROAD,NEWTOWN,NSW,2042
HAMPDEN ROAD,SOUTH WENTWORTHVILLE,NSW,2145
LIVERPOOL STREET,SYDNEY,NSW,2000
OLD SOUTH HEAD ROAD,NORTH BONDI,NSW,2026
FRIESIAN CLOSE,SANDGATE,NSW,2304
SYDNEY PLACE,ADELAIDE,SA,5000
VALLEY ROAD,SPRINGWOOD,NSW,2777
PHILLIP STREET,SYDNEY,NSW,2000
HUTCHINSON WALK,ZETLAND,NSW,2017
CURTIN STREET,WESTCOURT,QLD,4870
STREMPEL STREET,GLYNDE,SA,5070
BURFORD STREET,MERRYLANDS,NSW,2160
PIGGABEEN ROAD,TWEED HEADS WEST,NSW,2485
AUSTRALIA AVENUE,SYDNEY OLYMPIC PARK,NSW,2127
SCARBOROUGH TERRACE,DOVER GARDENS,SA,5048
CHATSWOOD COURT,OAKDEN,SA,5086
HOLM PLACE,SHELLHARBOUR CITY CENTRE,NSW,2529
RAILWAY STREET,WOY WOY,NSW,2256
MENANGLE ROAD,MENANGLE,NSW,2568
BUFFALO ROAD,RYDE,NSW,2112
PRINCE STREET,RANDWICK,NSW,2031
ONSLOW STREET,ASCOT,QLD,4007
FITZROY STREET,SURRY HILLS,NSW,2010
GOOD STREET,WESTMEAD,NSW,2145
CRESTVIEW PLACE,WYNN VALE,SA,5127
SIMONE CRESCENT,MORPHETT VALE,SA,5162
JONES STREET,ULTIMO,NSW,2007
WRIGHT ROAD,VALLEY VIEW,SA,5093
WARAYAMA PLACE,ROZELLE,NSW,2039
SALTRAM ROAD,GLENELG,SA,5045
ROYAL AVENUE,POORAKA,SA,5095
HUNTER CRESCENT,SALISBURY NORTH,SA,5108
KIRKWOOD ROAD,TWEED HEADS SOUTH,NSW,2486
SUSSEX STREET,SYDNEY,NSW,2000
HAMILTON STREET,ROSE BAY,NSW,2029
DEFRIES AVENUE,ZETLAND,NSW,2017
PORT HACKING ROAD,SYLVANIA,NSW,2224
HILL ROAD,WENTWORTH POINT,NSW,2127
WATERWAYS STREET,WENTWORTH POINT,NSW,2127
HILLIER ROAD,MORPHETT VALE,SA,5162
MACQUARIE STREET,PARRAMATTA,NSW,2150
TIMBROL AVENUE,RHODES,NSW,2138
PARNELL STREET,STRATHFIELD,NSW,2135
BANDON TERRACE,KINGSTON PARK,SA,5049
GREENHILLS AVENUE,MOOREBANK,NSW,2170
TOBRUK AVENUE,ST MARYS,SA,5042
IPSWICH ROAD,ANNERLEY,QLD,4103
ADA PLACE,ULTIMO,NSW,2007
DINGERA AVENUE,NORTH PLYMPTON,SA,5037
TALUS STREET,NAREMBURN,NSW,2065
MERLIN ROAD,FULHAM GARDENS,SA,5024
POTTER STREET,WATERLOO,NSW,2017
ALBATROSS AVENUE,AROONA,QLD,4551
KRIEG STREET,NURIOOTPA,SA,5355
HURTLE SQUARE,ADELAIDE,SA,5000
BOWMAN STREET,PYRMONT,NSW,2009
BANK STREET,MEADOWBANK,NSW,2114
SPENCE AVENUE,MYRTLE BANK,SA,5064
BAYWATER DRIVE,WENTWORTH POINT,NSW,2127
TRIMMER PARADE,SEATON,SA,5023
HOSKING PLACE,SYDNEY,NSW,2000
BRISBANE STREET,BOWEN,QLD,4805
DUNKLEY AVENUE,FIRLE,SA,5070
BEACONSFIELD ROAD EAST,ANDERGROVE,QLD,4740
BENOWA ROAD,BENOWA,QLD,4217
AWOONGA ROAD,HOPE VALLEY,SA,5090
FOAMCREST AVENUE,NEWPORT,NSW,2106
TENNYSON STREET,KURRALTA PARK,SA,5037
MAGNUS STREET,NELSON BAY,NSW,2315
CLEVELAND STREET,SURRY HILLS,NSW,2010
MERTON ROAD,WOOLLOONGABBA,QLD,4102
CARRINGTON ROAD,RANDWICK,NSW,2031
MILEHAM STREET,SOUTH WINDSOR,NSW,2756
GLENCOE STREET,SUTHERLAND,NSW,2232
WATTLE DRIVE,ROXBY DOWNS,SA,5725
MAGILL ROAD,MAYLANDS,SA,5069
RUPERTSWOOD ROAD,ROOTY HILL,NSW,2766
COWRA STREET,RENMARK,SA,5341
BUCHAN AVENUE,SINGLETON,NSW,2330
HOLDSWORTH STREET,NEUTRAL BAY,NSW,2089
ROSEBERY AVENUE,ROSEBERY,NSW,2018
FALKINER CRESCENT,SINGLETON HEIGHTS,NSW,2330
JARVIS ROAD,ELIZABETH VALE,SA,5112
EDGECLIFF ROAD,WOOLLAHRA,NSW,2025
BAYLIS STREET,WAGGA WAGGA,NSW,2650
KARINGAL WAY,MORPHETT VALE,SA,5162
TALINGA AVENUE,KILBURN,SA,5084
NELLIE AVENUE,MITCHELL PARK,SA,5043
BUNNERONG ROAD,MATRAVILLE,NSW,2036
KERRY STREET,ATHELSTONE,SA,5076
ROBERTSON STREET,PARRAMATTA,NSW,2150
LITTLE WILLANDRA ROAD,OXFORD FALLS,NSW,2100
MACLEAY STREET,POTTS POINT,NSW,2011
HALSTEAD STREET,SOUTH HURSTVILLE,NSW,2221
MCDONALD STREET,POTTS POINT,NSW,2011
WILLIAM STREET,YOUNG,NSW,2594
PALM CIRCUIT,ROSS,NT,873
JEFFREY STREET,BROOKLYN PARK,SA,5032
BOWEN STREET,WINDSOR,QLD,4030
AITCHANDAR ROAD,RYDE,NSW,2112
YEATES STREET,MOUNT GAMBIER,SA,5290
ELIZABETH STREET,MAYFIELD,NSW,2304
CONYNGHAM STREET,GLENSIDE,SA,5065
ANGAS ROAD,MAGILL,SA,5072
ROSCREA AVENUE,RANDWICK,NSW,2031
CHATSWORTH GROVE,TOORAK GARDENS,SA,5065
CROUCH STREET SOUTH,MOUNT GAMBIER,SA,5290
WOLFRAM STREET,STANTHORPE,QLD,4380
WRIGHT ROAD,MODBURY,SA,5092
GEORGE STREET,NORWOOD,SA,5067
TIBROCKNEY STREET,HIGHETT,VIC,3190
MAIN NORTH ROAD,ENFIELD,SA,5085
NEPEAN HIGHWAY,FRANKSTON,VIC,3199
GLENFERRIE ROAD,MALVERN,VIC,3144
SARINDA CLOSE,NEWNHAM,TAS,7248
FULLARTON ROAD,NORWOOD,SA,5067
BYRON ROAD,BLACK FOREST,SA,5035
NICOLAS BAUDIN DRIVE,ENCOUNTER BAY,SA,5211
FINDON ROAD,WOODVILLE WEST,SA,5011
BRADLEY GROVE,MITCHELL PARK,SA,5043
CENTRE ROAD,BENTLEIGH,VIC,3204
GRAY STREET,KILKENNY,SA,5009
ANTONIE AVENUE,DELAHEY,VIC,3037
PINNAROO CIRCUIT,MEADOW HEIGHTS,VIC,3048
GRIFFITHS STREET,HENLEY BEACH,SA,5022
MAWSON LAKES BOULEVARD,MAWSON LAKES,SA,5095
SHERLOCK ROAD,MOOROOLBARK,VIC,3138
FLORENCE STREET,BRUNSWICK,VIC,3056
NOLAN STREET,FRANKSTON,VIC,3199
KATHRYN ROAD,KNOXFIELD,VIC,3180
